lr	lambda	alpha	epochs	ft_epochs	batch_size	threshold	momentum	weight_decay	M_scale	Final_Accuracy	Sparsity	Tot_time	Pr_time	Accuracy	Train_loss
0.1	0.1	0.6	300	200	64	0.0001	0.9	0.0005	0.1	68.86	9036	2:20:13.018458	1:47:49.200792	67.94	0.7069
0.1	0.1	0.6	300	200	64	0.0001	0.9	0.0005	0.66	69.75	7191	2:26:38.231082	1:52:44.740961	68.06	0.6982
0.1	0.1	0.6	300	200	64	0.0001	0.9	0.0005	2.0	68.55	14598	2:27:37.423676	1:52:43.879189	67.46	0.7368
0.1	0.7	0.0001	300	200	64	0.0001	0.9	0.0005	0.1	65.02	112833	2:19:45.837898	1:47:12.195722	59.65	1.6433
0.1	0.7	0.0001	300	200	64	0.0001	0.9	0.0005	0.66	57.53	198999	2:27:19.591126	1:53:03.672912	53.28	1.7696
0.1	0.7	0.0001	300	200	64	0.0001	0.9	0.0005	2.0	50.54	226161	2:28:17.610075	1:53:31.161288	47.04	2.0408
0.1	0.7	0.01	300	200	64	0.0001	0.9	0.0005	0.1	65.49	105606	2:19:35.355904	1:47:05.438248	60.88	1.6526
0.1	0.7	0.01	300	200	64	0.0001	0.9	0.0005	0.66	56.47	210348	2:27:24.792286	1:53:18.479819	53.27	1.7628
0.1	0.7	0.01	300	200	64	0.0001	0.9	0.0005	2.0	53.36	222471	2:29:03.826455	1:54:20.151883	49.93	1.9641
0.1	0.7	0.3	300	200	64	0.0001	0.9	0.0005	0.1	63.5	125964	2:19:27.726336	1:46:59.844538	60.09	1.5773
0.1	0.7	0.3	300	200	64	0.0001	0.9	0.0005	0.66	61.73	172305	2:27:24.398949	1:53:16.149416	56.98	1.5839
0.1	0.7	0.3	300	200	64	0.0001	0.9	0.0005	2.0	66.76	111798	2:23:42.107961	1:50:14.607012	63.73	1.2349
0.1	0.7	0.6	300	200	64	0.0001	0.9	0.0005	0.1	64.86	143820	2:25:41.465727	1:51:12.062063	61.61	1.3877
0.1	0.7	0.6	300	200	64	0.0001	0.9	0.0005	0.66	59.11	177372	2:27:05.821363	1:52:55.703935	54.35	1.6988
0.1	0.7	0.6	300	200	64	0.0001	0.9	0.0005	2.0	55.26	213777	2:23:08.538501	1:49:11.083242	52.31	1.7729
0.1	1.3	0.0001	300	200	64	0.0001	0.9	0.0005	0.1	58.08	188172	2:19:07.669877	1:46:34.720402	52.53	2.0435
0.1	1.3	0.0001	300	200	64	0.0001	0.9	0.0005	0.66	44.27	241596	2:27:35.069253	1:53:18.265294	40.33	2.3156
0.1	1.3	0.0001	300	200	64	0.0001	0.9	0.0005	2.0	40.28	245052	2:25:05.943023	1:51:45.911246	36.21	2.5201
0.1	1.3	0.01	300	200	64	0.0001	0.9	0.0005	0.1	57.58	190476	2:18:58.329091	1:46:31.491295	53.36	2.0337
0.1	1.3	0.01	300	200	64	0.0001	0.9	0.0005	0.66	46.37	242604	2:27:03.005723	1:52:52.070381	41.04	2.2699
0.1	1.3	0.01	300	200	64	0.0001	0.9	0.0005	2.0	39.21	248247	2:28:37.592562	1:53:44.525553	34.6	2.5409
0.1	1.3	0.3	300	200	64	0.0001	0.9	0.0005	0.1	57.55	177804	2:19:49.261390	1:47:16.787272	54.32	1.9903
0.1	1.3	0.3	300	200	64	0.0001	0.9	0.0005	0.66	49.61	229122	2:27:20.901199	1:53:14.321842	44.71	2.1072
0.1	1.3	0.3	300	200	64	0.0001	0.9	0.0005	2.0	61.13	180999	2:28:36.489835	1:54:02.753674	58.15	1.593
0.1	1.3	0.6	300	200	64	0.0001	0.9	0.0005	0.1	52.95	203922	2:20:08.994698	1:47:35.584852	48.6	2.0298
0.1	1.3	0.6	300	200	64	0.0001	0.9	0.0005	0.66	47.13	234018	2:27:10.484504	1:53:02.783340	42.84	2.1687
0.1	1.3	0.6	300	200	64	0.0001	0.9	0.0005	2.0	47.47	234828	2:28:32.103791	1:53:46.885926	42.85	2.1528
0.1	1.6	0.0001	300	200	64	0.0001	0.9	0.0005	0.1	56.2	201852	2:18:50.598468	1:46:17.785407	51.14	2.1958
0.1	1.6	0.0001	300	200	64	0.0001	0.9	0.0005	0.66	38.79	252396	2:27:02.373564	1:52:55.232216	30.9	2.5395
0.1	1.6	0.0001	300	200	64	0.0001	0.9	0.0005	2.0	35.76	250002	2:25:16.204119	1:51:59.649570	31.96	2.7174
0.1	1.6	0.01	300	200	64	0.0001	0.9	0.0005	0.1	54.88	206892	2:19:00.427499	1:46:25.143473	49.13	2.1897
0.1	1.6	0.01	300	200	64	0.0001	0.9	0.0005	0.66	42.15	244017	2:27:15.859343	1:53:09.604363	37.05	2.4441
0.1	1.6	0.01	300	200	64	0.0001	0.9	0.0005	2.0	38.01	250551	2:28:30.990531	1:53:53.150962	31.37	2.6257
0.1	1.6	0.3	300	200	64	0.0001	0.9	0.0005	0.1	50.51	210519	2:19:04.224507	1:46:24.456992	46.27	2.197
0.1	1.6	0.3	300	200	64	0.0001	0.9	0.0005	0.66	44.86	240129	2:27:10.512963	1:53:01.518317	40.74	2.3235
0.1	1.6	0.3	300	200	64	0.0001	0.9	0.0005	2.0	58.67	201969	2:25:15.427180	1:51:50.244470	54.51	1.7527
0.1	1.6	0.6	300	200	64	0.0001	0.9	0.0005	0.1	54.63	219420	2:20:30.537172	1:47:17.538646	48.93	1.9534
0.1	1.6	0.6	300	200	64	0.0001	0.9	0.0005	0.66	40.39	245628	2:27:21.447241	1:53:07.333293	37.8	2.4615
0.1	1.6	0.6	300	200	64	0.0001	0.9	0.0005	2.0	41.98	246807	2:28:38.442599	1:53:37.218301	39.39	2.3693
